n_topic,seed_a,seed_b,iter_a,iter_b,passes_a,passes_b,mean,median,min,max,std,mad,corpus
10,340,341,50,100,2,3,0.57519121,0.571428571,0.4375,0.773006135,0.064204459,0.062294118,5
10,342,343,50,100,2,3,0.539539295,0.540145985,0.42519685,0.666666667,0.050956887,0.048456259,5
10,344,345,50,100,2,3,0.551267321,0.550724638,0.4,0.734177215,0.072304217,0.077953625,5
10,346,347,50,100,2,3,0.546386289,0.545435312,0.449612403,0.701298701,0.053539699,0.053558884,5
10,348,349,50,100,2,3,0.540620641,0.540145985,0.4375,0.684210526,0.048776574,0.048456259,5
10,350,351,50,100,2,3,0.540824395,0.529411765,0.37398374,0.684210526,0.057624113,0.049179567,5
10,352,353,50,100,2,3,0.527703625,0.529411765,0.4,0.611111111,0.043526776,0.047056708,5
10,354,355,50,100,2,3,0.546647822,0.540145985,0.4,0.684210526,0.057632695,0.061400839,5
10,356,357,50,100,2,3,0.556068164,0.550724638,0.412698413,0.666666667,0.051887977,0.047748792,5
10,358,359,50,100,2,3,0.561678414,0.561151079,0.449612403,0.757763975,0.058853584,0.047056708,5
10,360,361,50,100,2,3,0.551663431,0.550724638,0.42519685,0.692810458,0.059034885,0.064140169,5
10,362,363,50,100,2,3,0.567006106,0.561151079,0.37398374,0.692810458,0.057559032,0.059670977,5
10,364,365,50,100,2,3,0.548419326,0.550724638,0.4,0.734177215,0.061691058,0.064140169,5
10,366,367,50,100,2,3,0.543858782,0.550724638,0.4,0.666666667,0.059783373,0.064140169,5
10,368,369,50,100,2,3,0.5404868,0.540145985,0.37398374,0.709677419,0.056483252,0.048456259,5
10,370,371,50,100,2,3,0.550134824,0.540145985,0.42519685,0.72611465,0.058158861,0.048456259,5
10,372,373,50,100,2,3,0.539152993,0.550724638,0.347107438,0.639455782,0.059597784,0.064140169,5
10,374,375,50,100,2,3,0.534927024,0.518518519,0.42519685,0.692810458,0.059254213,0.067067006,5
10,376,377,50,100,2,3,0.525408238,0.529411765,0.4375,0.657718121,0.043521676,0.049179567,5
10,378,379,50,100,2,3,0.568213133,0.561151079,0.42519685,0.765432099,0.064870185,0.061439005,5
10,380,381,50,100,2,3,0.553032729,0.550724638,0.4,0.701298701,0.06263793,0.062333403,5
10,382,383,50,100,2,3,0.540560644,0.540145985,0.37398374,0.692810458,0.057102556,0.061400839,5
10,384,385,50,100,2,3,0.579114281,0.571428571,0.449612403,0.75,0.069557038,0.08274277,5
10,386,387,50,100,2,3,0.538378159,0.540145985,0.42519685,0.684210526,0.052106379,0.048456259,5
10,388,389,50,100,2,3,0.544523088,0.550724638,0.412698413,0.657718121,0.052654777,0.047748792,5
10,390,391,50,100,2,3,0.545123295,0.545435312,0.387096774,0.684210526,0.062288213,0.068368593,5
10,392,393,50,100,2,3,0.535046457,0.529411765,0.412698413,0.757763975,0.062494751,0.055736842,5
10,394,395,50,100,2,3,0.550045771,0.540145985,0.4375,0.675496689,0.058036888,0.065094122,5
10,396,397,50,100,2,3,0.550004283,0.550724638,0.387096774,0.701298701,0.063913968,0.060526638,5
10,398,399,50,100,2,3,0.55961498,0.561151079,0.387096774,0.675496689,0.058418297,0.061439005,5
10,400,401,50,100,3,4,0.587795256,0.581560284,0.4375,0.765432099,0.069210935,0.061400839,5
10,402,403,50,100,3,4,0.559969255,0.571428571,0.4,0.734177215,0.063073885,0.062294118,5
10,404,405,50,100,3,4,0.572823204,0.561151079,0.333333333,0.787878788,0.070001066,0.063207034,5
10,406,407,50,100,3,4,0.561516504,0.561151079,0.42519685,0.757763975,0.065658263,0.059670977,5
10,408,409,50,100,3,4,0.587842515,0.591549296,0.360655738,0.787878788,0.075161016,0.076210548,5
10,410,411,50,100,3,4,0.5715797,0.571428571,0.4,0.75,0.069542587,0.062294118,5
10,412,413,50,100,3,4,0.570133246,0.571428571,0.42519685,0.72611465,0.063497096,0.062294118,5
10,414,415,50,100,3,4,0.593661329,0.591549296,0.347107438,0.850574713,0.09077803,0.084655501,5
10,416,417,50,100,3,4,0.551699666,0.550724638,0.42519685,0.72611465,0.055673772,0.047748792,5
10,418,419,50,100,3,4,0.588981452,0.591549296,0.449612403,0.734177215,0.05376681,0.043203497,5
10,420,421,50,100,3,4,0.581435532,0.571428571,0.42519685,0.742138365,0.069154161,0.075739464,5
10,422,423,50,100,3,4,0.585244388,0.581560284,0.449612403,0.75,0.065905081,0.061400839,5
10,424,425,50,100,3,4,0.567001149,0.561151079,0.42519685,0.701298701,0.059564214,0.063207034,5
10,426,427,50,100,3,4,0.588582587,0.591549296,0.412698413,0.830409357,0.077839477,0.076210548,5
10,428,429,50,100,3,4,0.577364944,0.576494428,0.387096774,0.734177215,0.072316712,0.079530458,5
10,430,431,50,100,3,4,0.568443154,0.561151079,0.412698413,0.709677419,0.074601683,0.083935152,5
10,432,433,50,100,3,4,0.558951848,0.561151079,0.412698413,0.684210526,0.047566347,0.047056708,5
10,434,435,50,100,3,4,0.585791366,0.58655479,0.4375,0.765432099,0.070459123,0.078431012,5
10,436,437,50,100,3,4,0.578362782,0.561151079,0.387096774,0.780487805,0.079274598,0.079598411,5
10,438,439,50,100,3,4,0.570033695,0.561151079,0.42519685,0.742138365,0.065258961,0.063207034,5
10,440,441,50,100,3,4,0.593030594,0.58655479,0.461538462,0.816568047,0.068610106,0.066710329,5
10,442,443,50,100,3,4,0.574132368,0.571428571,0.461538462,0.734177215,0.060173893,0.058833333,5
10,444,445,50,100,3,4,0.57800458,0.581560284,0.412698413,0.765432099,0.066532878,0.066710329,5
10,446,447,50,100,3,4,0.586303443,0.58655479,0.42519685,0.75,0.075644731,0.084720249,5
10,448,449,50,100,3,4,0.57581672,0.571428571,0.4375,0.843930636,0.066393866,0.062294118,5
10,450,451,50,100,3,4,0.573059438,0.571428571,0.4375,0.709677419,0.061159018,0.073034483,5
10,452,453,50,100,3,4,0.591627806,0.591549296,0.4,0.72611465,0.064697713,0.071026157,5
10,454,455,50,100,3,4,0.575709777,0.571428571,0.473282443,0.72611465,0.05949404,0.062294118,5
10,456,457,50,100,3,4,0.565096268,0.561151079,0.42519685,0.734177215,0.068035918,0.068638889,5
10,458,459,50,100,3,4,0.590866852,0.581560284,0.412698413,0.75,0.069481956,0.072019819,5
10,460,461,50,100,3,4,0.582172093,0.581560284,0.42519685,0.787878788,0.078232193,0.08157563,5
10,462,463,50,100,3,4,0.570208117,0.571428571,0.347107438,0.717948718,0.065242665,0.060563725,5
10,464,465,50,100,3,4,0.581436726,0.576494428,0.42519685,0.787878788,0.064700198,0.052606448,5
10,466,467,50,100,3,4,0.564097258,0.561151079,0.387096774,0.717948718,0.058545759,0.061439005,5
10,468,469,50,100,3,4,0.57213948,0.571428571,0.42519685,0.75,0.06562616,0.058833333,5
10,470,471,50,100,3,4,0.562773672,0.571428571,0.4375,0.709677419,0.058888189,0.062294118,5
